city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
San-Francisco_CA,50,8.0,0.1599,0.0003,0.0001,0.0
San-Francisco_CA,50,16.0,0.1668,0.0006,0.0001,0.0
San-Francisco_CA,50,32.0,0.1635,0.0006,0.0002,0.0
San-Francisco_CA,50,64.0,0.1632,0.0004,0.0004,0.0
San-Francisco_CA,50,inf,0.0805,0.0001,0.0805,0.0001
Anchorage_AK,25,8.0,0.0772,0.0005,0.0001,0.0
Anchorage_AK,25,16.0,0.0727,0.0001,0.0001,0.0
Anchorage_AK,25,32.0,0.0742,0.0003,0.0002,0.0
Anchorage_AK,25,64.0,0.0748,0.0002,0.0004,0.0
Anchorage_AK,25,inf,0.0466,0.0001,0.0466,0.0001
Anchorage_AK,50,8.0,0.0759,0.0012,0.0001,0.0
Anchorage_AK,50,16.0,0.0728,0.0003,0.0001,0.0
Anchorage_AK,50,32.0,0.0713,0.0004,0.0002,0.0
Anchorage_AK,50,64.0,0.0732,0.0002,0.0004,0.0
Anchorage_AK,50,inf,0.0462,0.0003,0.0461,0.0003
SanAntonio_TX,25,8.0,0.0932,0.0001,0.0001,0.0
SanAntonio_TX,25,16.0,0.0919,0.0004,0.0001,0.0
SanAntonio_TX,25,32.0,0.092,0.0004,0.0002,0.0
SanAntonio_TX,25,64.0,0.0935,0.0001,0.0004,0.0
SanAntonio_TX,25,inf,0.0431,0.0001,0.043,0.0001
SanAntonio_TX,50,8.0,0.0894,0.0003,0.0001,0.0
SanAntonio_TX,50,16.0,0.0916,0.0005,0.0001,0.0
SanAntonio_TX,50,32.0,0.0925,0.0001,0.0002,0.0
SanAntonio_TX,50,64.0,0.0913,0.0002,0.0003,0.0
SanAntonio_TX,50,inf,0.042,0.0002,0.042,0.0002
Rome_GA,25,8.0,0.0392,0.0004,0.0001,0.0
Rome_GA,25,16.0,0.0393,0.0004,0.0001,0.0
Rome_GA,25,32.0,0.0388,0.0005,0.0002,0.0
Rome_GA,25,64.0,0.0388,0.0001,0.0004,0.0
Rome_GA,25,inf,0.0199,0.0001,0.0199,0.0001
Rome_GA,50,8.0,0.0386,0.0001,0.0001,0.0
Rome_GA,50,16.0,0.0372,0.0001,0.0001,0.0
Rome_GA,50,32.0,0.0371,0.0,0.0002,0.0
